Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,1,1,Aitkin Public School District,3,2,1,Hill City Public School District
23-24,1,1,Aitkin Public School District,9,4,1,McGregor Public School District
23-24,1,1,Aitkin Public School District,1,116,1,Pillager Public School District
23-24,1,1,Aitkin Public School District,13,181,1,Brainerd Public School District
23-24,1,1,Aitkin Public School District,51,182,1,Crosby-Ironton Public School District
23-24,1,1,Aitkin Public School District,1,186,1,Pequot Lakes Public Schools
23-24,1,1,Aitkin Public School District,1,318,1,Grand Rapids Public School District
23-24,1,1,Aitkin Public School District,11,473,1,Isle Public School District
23-24,1,1,Aitkin Public School District,12,480,1,Onamia Public School District
23-24,1,3,Minneapolis Public School District,22,11,1,Anoka-Hennepin Public School District
23-24,1,3,Minneapolis Public School District,36,13,1,Columbia Heights Public School District
23-24,1,3,Minneapolis Public School District,12,14,1,Fridley Public School District
23-24,1,3,Minneapolis Public School District,1,15,1,St. Francis Area Schools
23-24,1,3,Minneapolis Public School District,2,16,1,Spring Lake Park Public Schools
23-24,1,3,Minneapolis Public School District,2,191,1,Burnsville-Eagan-Savage School District
23-24,1,3,Minneapolis Public School District,3,196,1,Rosemount-Apple Valley-Eagan
23-24,1,3,Minneapolis Public School District,5,197,1,West St. Paul-Mendota Heights-Eagan
23-24,1,3,Minneapolis Public School District,1,199,1,Inver Grove Heights Schools
23-24,1,3,Minneapolis Public School District,5,270,1,Hopkins Public School District
23-24,1,3,Minneapolis Public School District,14,271,1,Bloomington Public School District
23-24,1,3,Minneapolis Public School District,3,272,1,Eden Prairie Public School District
23-24,1,3,Minneapolis Public School District,10,273,1,Edina Public School District
23-24,1,3,Minneapolis Public School District,1,277,1,Westonka Public School District
23-24,1,3,Minneapolis Public School District,58,279,1,Osseo Public School District
23-24,1,3,Minneapolis Public School District,44,280,1,Richfield Public School District
23-24,1,3,Minneapolis Public School District,72,281,1,Robbinsdale Public School District
23-24,1,3,Minneapolis Public School District,5,282,1,St. Anthony-New Brighton Schools
23-24,1,3,Minneapolis Public School District,7,283,1,St. Louis Park Public School District
23-24,1,3,Minneapolis Public School District,4,284,1,Wayzata Public School District
23-24,1,3,Minneapolis Public School District,26,286,1,Brooklyn Center Community Schools
23-24,1,3,Minneapolis Public School District,3,621,1,Mounds View Public School District
23-24,1,3,Minneapolis Public School District,2,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,1,3,Minneapolis Public School District,4,623,1,Roseville Public School District
23-24,1,3,Minneapolis Public School District,45,625,1,Saint Paul Public Schools
23-24,1,3,Minneapolis Public School District,1,720,1,Shakopee Public School District
23-24,1,3,Minneapolis Public School District,2,728,1,Elk River Public School District
