,Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
0,23-24,1.0,1.0,Aitkin Public School District,3.0,2.0,1.0,Hill City Public School District
1,23-24,1.0,1.0,Aitkin Public School District,9.0,4.0,1.0,McGregor Public School District
2,23-24,1.0,1.0,Aitkin Public School District,1.0,116.0,1.0,Pillager Public School District
3,23-24,1.0,1.0,Aitkin Public School District,13.0,181.0,1.0,Brainerd Public School District
4,23-24,1.0,1.0,Aitkin Public School District,51.0,182.0,1.0,Crosby-Ironton Public School District
5,23-24,1.0,1.0,Aitkin Public School District,1.0,186.0,1.0,Pequot Lakes Public Schools
6,23-24,1.0,1.0,Aitkin Public School District,1.0,318.0,1.0,Grand Rapids Public School District
7,23-24,1.0,1.0,Aitkin Public School District,11.0,473.0,1.0,Isle Public School District
8,23-24,1.0,1.0,Aitkin Public School District,12.0,480.0,1.0,Onamia Public School District
9,23-24,1.0,3.0,Minneapolis Public School District,22.0,11.0,1.0,Anoka-Hennepin Public School District
10,23-24,1.0,3.0,Minneapolis Public School District,36.0,13.0,1.0,Columbia Heights Public School District
11,23-24,1.0,3.0,Minneapolis Public School District,12.0,14.0,1.0,Fridley Public School District
12,23-24,1.0,3.0,Minneapolis Public School District,1.0,15.0,1.0,St. Francis Area Schools
13,23-24,1.0,3.0,Minneapolis Public School District,2.0,16.0,1.0,Spring Lake Park Public Schools
14,23-24,1.0,3.0,Minneapolis Public School District,2.0,191.0,1.0,Burnsville-Eagan-Savage School District
15,23-24,1.0,3.0,Minneapolis Public School District,3.0,196.0,1.0,Rosemount-Apple Valley-Eagan
16,23-24,1.0,3.0,Minneapolis Public School District,5.0,197.0,1.0,West St. Paul-Mendota Heights-Eagan
17,23-24,1.0,3.0,Minneapolis Public School District,1.0,199.0,1.0,Inver Grove Heights Schools
18,23-24,1.0,3.0,Minneapolis Public School District,5.0,270.0,1.0,Hopkins Public School District
19,23-24,1.0,3.0,Minneapolis Public School District,14.0,271.0,1.0,Bloomington Public School District
20,23-24,1.0,3.0,Minneapolis Public School District,3.0,272.0,1.0,Eden Prairie Public School District
21,23-24,1.0,3.0,Minneapolis Public School District,10.0,273.0,1.0,Edina Public School District
22,23-24,1.0,3.0,Minneapolis Public School District,1.0,277.0,1.0,Westonka Public School District
23,23-24,1.0,3.0,Minneapolis Public School District,58.0,279.0,1.0,Osseo Public School District
24,23-24,1.0,3.0,Minneapolis Public School District,44.0,280.0,1.0,Richfield Public School District
25,23-24,1.0,3.0,Minneapolis Public School District,72.0,281.0,1.0,Robbinsdale Public School District
26,23-24,1.0,3.0,Minneapolis Public School District,5.0,282.0,1.0,St. Anthony-New Brighton Schools
